CUI,SAB_x,SAB_y,STR,DEF
C0000744,MSH,DXP,ABETALIPOPROTEINEMIA,"An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL."
C0000744,CSP,DXP,ABETALIPOPROTEINEMIA,"disorder of lipid metabolism inherited as an autosomal recessive trait characterized by the near absence of apolipoprotein B and apoB containing lipoproteins in plasma; microsomal triglyceride transfer protein is deficient or absent in enterocytes; clinical and laboratory findings include acanthocytosis, hypocholesterolemia, peripheral neuropathy, posterior column degeneration, ataxia, and steatorrhea; intellectual abilities may also be impaired."
C0000744,NCI,DXP,ABETALIPOPROTEINEMIA,"An autosomal recessive disorder characterized by defective absorption of dietary fat, cholesterol and fat-soluble vitamins. It results in multiple vitamin deficiencies. Signs and symptoms include failure to thrive, diarrhea, steatorrhea, acanthocytosis and ataxia."
C0000744,HPO,DXP,ABETALIPOPROTEINEMIA,An absence of low-density lipoprotein cholesterol in the blood. [HPO:probinson]
C0000744,ORPHANET,DXP,ABETALIPOPROTEINEMIA,"A severe, familial hypobetalipoproteinemia characterized by permanently low levels (below the 5th percentile) of apolipoprotein B and LDL cholesterol, and by growth delay, malabsorption, hepatomegaly, and neurological and neuromuscular manifestations."
C0000786,MSH,DXP,"ABORTION, SPONTANEOUS",Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.
C0000786,CSP,DXP,"ABORTION, SPONTANEOUS","the natural premature expulsion from the uterus of the products of conception, the embryo, or non-viable fetus."
C0000786,NCI,DXP,"ABORTION, SPONTANEOUS",Fetal loss at less than 20 weeks of gestation.
C0000814,MSH,DXP,"ABORTION, MISSED",The retention in the UTERUS of a dead FETUS two months or more after its DEATH.
C0000814,NCI,DXP,"ABORTION, MISSED",Retention in uterus of an abortus.
