CUI_1,STR_1,CUI_2,STR_2,SCORE
C0000744,ABETALIPOPROTEINEMIA,C0020479,HYPERLIPOPROTEINEMIA TYPE III,0.7342127561569214
C0000744,ABETALIPOPROTEINEMIA,C0023817,HYPERLIPOPROTEINEMIA TYPE I,0.7326682209968567
C0000744,ABETALIPOPROTEINEMIA,C0020480,HYPERLIPOPROTEINEMIA TYPE IV,0.7298439145088196
C0000744,ABETALIPOPROTEINEMIA,C0028064,NIEMANN-PICK DISEASE,0.6708213090896606
C0000744,ABETALIPOPROTEINEMIA,C0020445,HYPERLIPOPROTEINEMIA TYPE II,0.6501705646514893
C0000744,ABETALIPOPROTEINEMIA,C0034960,REFSUM DISEASE,0.6403307318687439
C0000744,ABETALIPOPROTEINEMIA,C0023195,LECITHIN CHOLESTEROL ACYLTRANSFERASE DEFICIENCY,0.6387671828269958
C0000786,"ABORTION, SPONTANEOUS",C0812470,"ABORTION, INCOMPLETE",0.6867291927337646
C0000786,"ABORTION, SPONTANEOUS",C0000814,"ABORTION, MISSED",0.5881325602531433
C0000786,"ABORTION, SPONTANEOUS",C0042135,"UTERUS, ATONY",0.5226424932479858
C0000786,"ABORTION, SPONTANEOUS",C0032991,"PREGNANCY, OVARIAN",0.5096397995948792
C0000786,"ABORTION, SPONTANEOUS",C0000832,PLACENTA ABRUPTIO,0.5082030296325684
C0000786,"ABORTION, SPONTANEOUS",C0007871,"UTERUS, CERVICAL OS, INCOMPETENT",0.48515358567237854
C0000786,"ABORTION, SPONTANEOUS",C1827755,PSEUDOCYESIS,0.47456294298171997
C0000814,"ABORTION, MISSED",C0812470,"ABORTION, INCOMPLETE",0.598857581615448
C0000814,"ABORTION, MISSED",C0042135,"UTERUS, ATONY",0.5748937129974365
C0000814,"ABORTION, MISSED",C0000817,"ABORTION, SEPTIC",0.5384750962257385
C0000814,"ABORTION, MISSED",C0013927,"EMBOLISM, AMNIOTIC FLUID",0.4878016412258148
C0000814,"ABORTION, MISSED",C0020224,HYDRAMNIOS,0.46095648407936096
C0000814,"ABORTION, MISSED",C0007871,"UTERUS, CERVICAL OS, INCOMPETENT",0.45577558875083923
C0000817,"ABORTION, SEPTIC",C0007871,"UTERUS, CERVICAL OS, INCOMPETENT",0.587896466255188
C0000817,"ABORTION, SEPTIC",C0812470,"ABORTION, INCOMPLETE",0.5678144097328186
C0000817,"ABORTION, SEPTIC",C0042135,"UTERUS, ATONY",0.5452260971069336
C0000817,"ABORTION, SEPTIC",C1827755,PSEUDOCYESIS,0.5395937561988831
C0000817,"ABORTION, SEPTIC",C0238103,"ENDOMETRITIS, ACUTE",0.5381849408149719
C0000817,"ABORTION, SEPTIC",C0032984,"PREGNANCY, ABDOMINAL",0.518747091293335
C0000821,"ABORTION, THREATENED",C0007871,"UTERUS, CERVICAL OS, INCOMPETENT",0.593906581401825
C0000821,"ABORTION, THREATENED",C0022876,"LABOR, PREMATURE",0.5410364270210266
C0000821,"ABORTION, THREATENED",C0270191,"HEMORRHAGE, INTRAVENTRICULAR, NEWBORN",0.5250970721244812
C0000821,"ABORTION, THREATENED",C0042140,"UTERUS, PROLAPSE",0.4778707027435303
C0000821,"ABORTION, THREATENED",C0238104,"ENDOMETRITIS, CHRONIC",0.46810275316238403
C0000821,"ABORTION, THREATENED",C0476089,"ENDOMETRIUM, CARCINOMA",0.46603551506996155
C0000821,"ABORTION, THREATENED",C0000832,PLACENTA ABRUPTIO,0.46449533104896545
C0000832,PLACENTA ABRUPTIO,C0032044,PLACENTA ACCRETA,0.617763340473175
C0000832,PLACENTA ABRUPTIO,C0032046,PLACENTA PREVIA,0.5915621519088745
C0000832,PLACENTA ABRUPTIO,C0013927,"EMBOLISM, AMNIOTIC FLUID",0.5278151035308838
C0000832,PLACENTA ABRUPTIO,C0812470,"ABORTION, INCOMPLETE",0.5072874426841736
C0000832,PLACENTA ABRUPTIO,C0042135,"UTERUS, ATONY",0.49105051159858704
C0000832,PLACENTA ABRUPTIO,C0008495,CHORIOAMNIONITIS,0.4742618501186371
C0000889,ACANTHOSIS NIGRICANS,C0022602,"KERATOSIS, ACTINIC",0.6693935394287109
C0000889,ACANTHOSIS NIGRICANS,C0022603,"KERATOSIS, SEBORRHEIC",0.6571316719055176
C0000889,ACANTHOSIS NIGRICANS,C0038325,STEVENS-JOHNSON SYNDROME,0.6336727142333984
C0000889,ACANTHOSIS NIGRICANS,C0025202,"MELANOMA, MALIGNANT",0.6300764083862305
C0000889,ACANTHOSIS NIGRICANS,C5574816,"LUPUS ERYTHEMATOSUS, DISCOID",0.6266413927078247
C0000889,ACANTHOSIS NIGRICANS,C0032026,PITYRIASIS ROSEA,0.6141728162765503
C0000889,ACANTHOSIS NIGRICANS,C0030186,"PAGET DISEASE, EXTRAMAMMARY",0.5913153290748596
C0001080,ACHONDROPLASIA,C0011989,PROGRESSIVE DIAPHYSEAL DYSPLASIA,0.7048417329788208
C0001080,ACHONDROPLASIA,C0015306,"EXOSTOSIS, MULTIPLE",0.6391250491142273
C0001080,ACHONDROPLASIA,C0242292,ALBRIGHT'S SYNDROME,0.6170849204063416
C0001080,ACHONDROPLASIA,C0014084,OLLIER DISEASE,0.6166273355484009
C0001080,ACHONDROPLASIA,C0238402,PYKNODYSOSTOSIS,0.6128513813018799
